Date,Open,High,Low,Close,Adj Close,Volume
2003-04-28,0.258214,0.260536,0.256071,0.258036,0.219619,321182400
2003-05-05,0.263750,0.328571,0.263393,0.326786,0.278134,5400701600
2003-05-12,0.324107,0.339464,0.320536,0.335714,0.285732,1848280000
2003-05-19,0.330893,0.333036,0.314286,0.327143,0.278437,1552297600
2003-05-26,0.320714,0.337500,0.313036,0.320536,0.272814,1346324000
2003-06-02,0.323214,0.326607,0.303929,0.306250,0.260655,1497535200
2003-06-09,0.302500,0.320536,0.296964,0.311071,0.264758,1105546400
2003-06-16,0.314286,0.350179,0.311607,0.342857,0.291812,1609048000
2003-06-23,0.344643,0.351607,0.330000,0.334464,0.284669,1679053600
2003-06-30,0.333571,0.349107,0.330536,0.341607,0.290748,866213600
2003-07-07,0.344107,0.366071,0.341607,0.354464,0.301691,1064448000
2003-07-14,0.357321,0.378214,0.346071,0.372500,0.317042,1696032800
2003-07-21,0.369464,0.385179,0.362500,0.384643,0.327377,971191200
2003-07-28,0.383929,0.383929,0.360179,0.370179,0.315066,992140800
2003-08-04,0.366607,0.383929,0.346786,0.350714,0.298499,1037058400
2003-08-11,0.353929,0.363214,0.347500,0.351964,0.299563,904411200
2003-08-18,0.354643,0.392857,0.352143,0.372857,0.317345,1105266400
2003-08-25,0.371071,0.408036,0.363393,0.403750,0.343639,1111224800
2003-09-01,0.404643,0.416429,0.400000,0.401786,0.341968,950874400
2003-09-08,0.401429,0.413214,0.394643,0.412500,0.351086,966179200
2003-09-15,0.407321,0.411607,0.390179,0.403214,0.343183,1244112800
2003-09-22,0.396071,0.401786,0.359821,0.369464,0.314458,1535189600
2003-09-29,0.383750,0.390357,0.360536,0.387321,0.329656,1390900000
2003-10-06,0.386964,0.425179,0.385357,0.422857,0.359901,1637759200
2003-10-13,0.423750,0.446607,0.400179,0.406250,0.345767,2500881600
2003-10-20,0.403571,0.417857,0.396964,0.403571,0.343487,1002260000
2003-10-27,0.406250,0.428571,0.400000,0.408750,0.347895,1159519200
2003-11-03,0.407679,0.416071,0.400893,0.401786,0.341968,1481765600
2003-11-10,0.400893,0.405714,0.380000,0.383214,0.326161,1199172800
2003-11-17,0.381250,0.381607,0.354464,0.362143,0.308227,1321460000
2003-11-24,0.366071,0.379821,0.361607,0.373393,0.317802,971706400
2003-12-01,0.375714,0.391071,0.370179,0.372321,0.316889,1122245600
2003-12-08,0.371071,0.381071,0.356429,0.373036,0.317498,930529600
2003-12-15,0.383750,0.383750,0.350357,0.351786,0.299412,1821601600
2003-12-22,0.350893,0.373393,0.343750,0.371071,0.315825,966733600
2003-12-29,0.373393,0.388393,0.372500,0.380000,0.323425,757405600
2004-01-05,0.382500,0.430893,0.382500,0.410714,0.349566,2379003200
2004-01-12,0.415179,0.443571,0.401786,0.405714,0.345311,3177636000
2004-01-19,0.404821,0.410179,0.396071,0.402857,0.342879,974780800
2004-01-26,0.401071,0.417500,0.396250,0.402857,0.342879,1251740000
2004-02-02,0.401071,0.409107,0.387500,0.405536,0.345159,1319981600
2004-02-09,0.403929,0.430357,0.400714,0.410714,0.349566,1292116000
2004-02-16,0.412500,0.422143,0.396607,0.400000,0.340447,913276000
2004-02-23,0.398929,0.428929,0.390893,0.427143,0.363549,1396656800
2004-03-01,0.430357,0.490893,0.421429,0.477500,0.406409,3004321600
2004-03-08,0.475357,0.502500,0.459821,0.492143,0.418872,3073274400
2004-03-15,0.482679,0.488393,0.453393,0.461786,0.393035,2228240000
2004-03-22,0.453036,0.488571,0.450357,0.482857,0.410968,2219100800
2004-03-29,0.488750,0.499821,0.475357,0.491071,0.417960,1693988800
2004-04-05,0.490714,0.506607,0.480714,0.491607,0.418416,1139700800
2004-04-12,0.491071,0.528214,0.469821,0.521071,0.443493,3471048000
2004-04-19,0.502143,0.513393,0.483036,0.494643,0.421000,2053161600
2004-04-26,0.492500,0.493571,0.455179,0.460357,0.391818,1673453600
2004-05-03,0.464286,0.492321,0.455357,0.476250,0.405345,1498319200
2004-05-10,0.469107,0.495000,0.463214,0.483214,0.411272,1288224000
2004-05-17,0.476786,0.491071,0.470714,0.484107,0.412032,1258292000
2004-05-24,0.487321,0.513929,0.484107,0.501071,0.426471,1259440000
2004-05-31,0.496250,0.522321,0.493036,0.513929,0.437414,1150889600
2004-06-07,0.518571,0.553036,0.514464,0.548929,0.467204,1318279200
2004-06-14,0.547321,0.596607,0.526786,0.587679,0.500184,2555834400
2004-06-21,0.591429,0.604107,0.573571,0.601786,0.512191,1717536800
2004-06-28,0.610357,0.610536,0.530893,0.555000,0.472371,2737319200
2004-07-05,0.558393,0.561071,0.534821,0.536250,0.456412,1189216000
2004-07-12,0.536071,0.600536,0.513214,0.575000,0.489393,3919703200
2004-07-19,0.571607,0.584107,0.544286,0.548214,0.466595,1765864800
2004-07-26,0.550893,0.589286,0.549643,0.577500,0.491521,1569170400
2004-08-02,0.556786,0.576786,0.530357,0.531786,0.452613,1590002400
2004-08-09,0.533036,0.563214,0.532321,0.550714,0.468723,1518524000
2004-08-16,0.553571,0.568929,0.541964,0.550000,0.468115,1829049600
2004-08-23,0.551071,0.628214,0.546429,0.613393,0.522070,2479086400
2004-08-30,0.607143,0.642679,0.606429,0.629107,0.535444,1810222400
2004-09-06,0.632143,0.653036,0.629107,0.640536,0.545172,1434837600
2004-09-13,0.640714,0.667500,0.621071,0.663214,0.564474,1773693600
2004-09-20,0.658571,0.694107,0.657321,0.665893,0.566754,1800232000
2004-09-27,0.659821,0.701250,0.657679,0.690536,0.587728,1914628800
2004-10-04,0.699643,0.730893,0.685714,0.697500,0.593655,2211927200
2004-10-11,0.692857,0.816964,0.672321,0.812500,0.691534,5746624800
2004-10-18,0.798214,0.863393,0.798214,0.846607,0.720563,3815425600
2004-10-25,0.842857,0.950000,0.838750,0.935714,0.796403,3854984000
2004-11-01,0.937500,1.001964,0.929286,0.977143,0.831664,4669884800
2004-11-08,0.969107,0.994464,0.953214,0.991071,0.843519,2314362400
2004-11-15,0.985714,1.016250,0.968214,0.985179,0.838504,2293328800
2004-11-22,1.103571,1.174286,1.033929,1.152679,0.981066,5420592800
2004-11-29,1.231250,1.242321,1.102679,1.119286,0.952645,5768280000
2004-12-06,1.147321,1.191607,1.108036,1.163393,0.990186,4513997600
2004-12-13,1.171786,1.205357,1.153571,1.160536,0.987754,3118735200
2004-12-20,1.169107,1.178571,1.100000,1.143036,0.972859,3044300000
2004-12-27,1.157143,1.163393,1.108036,1.150000,0.978786,2244737600
2005-01-03,1.156786,1.243393,1.117857,1.236607,1.052499,5402241600
2005-01-10,1.246964,1.328929,1.130357,1.253571,1.066937,11192098400
2005-01-17,1.247321,1.278571,1.209821,1.258750,1.071345,3584610400
2005-01-24,1.267500,1.321071,1.259821,1.321071,1.124388,3848196800
2005-01-31,1.331786,1.426964,1.330536,1.407857,1.198253,4674762400
2005-02-07,1.409464,1.464107,1.368929,1.450179,1.234274,4900005600
2005-02-14,1.477321,1.622857,1.465179,1.550179,1.319386,7904652000
2005-02-21,1.541071,1.605536,1.523036,1.589107,1.352518,4999013600
2005-02-28,1.595714,1.612143,1.472143,1.528929,1.301299,3746232000
2005-03-07,1.528571,1.544643,1.386786,1.438214,1.224090,4204488400
2005-03-14,1.447143,1.551429,1.411429,1.534286,1.305859,3553877600
2005-03-21,1.546071,1.570357,1.500714,1.517857,1.291876,2055071200
2005-03-28,1.526786,1.534286,1.448929,1.460357,1.242936,2409145200
2005-04-04,1.463929,1.587500,1.434286,1.562143,1.329569,2708017200
2005-04-11,1.576786,1.580357,1.260000,1.262500,1.074537,7655950400
2005-04-18,1.250000,1.347857,1.214286,1.267857,1.079096,4952673600
2005-04-25,1.303214,1.339643,1.257857,1.287857,1.096119,3417593200
2005-05-02,1.293214,1.333214,1.286429,1.330000,1.131987,2124449600
2005-05-09,1.331429,1.337500,1.182500,1.241786,1.056907,4510895200
2005-05-16,1.234286,1.345714,1.233214,1.341071,1.141410,2945174400
2005-05-23,1.351786,1.462143,1.351786,1.448571,1.232905,2873570000
2005-05-30,1.452143,1.455714,1.348929,1.365714,1.162384,2188860800
2005-06-06,1.368929,1.379643,1.268571,1.278929,1.088520,3030426000
2005-06-13,1.281786,1.376429,1.276786,1.368214,1.164512,2490762400
2005-06-20,1.351786,1.420714,1.335000,1.348571,1.147793,2204132000
2005-06-27,1.315714,1.360714,1.290000,1.303571,1.109493,2067220400
2005-07-04,1.305357,1.367143,1.303571,1.366071,1.162688,1523354000
2005-07-11,1.370357,1.500357,1.349286,1.483929,1.262999,4244405200
2005-07-18,1.478929,1.572857,1.466786,1.571429,1.337472,2416125600
2005-07-25,1.571071,1.585000,1.509286,1.523214,1.296435,1660360800
2005-08-01,1.520357,1.553571,1.500714,1.535357,1.306771,1380682800
2005-08-08,1.535714,1.650714,1.521786,1.646429,1.401306,2106188000
2005-08-15,1.660000,1.726071,1.633929,1.636786,1.393098,2943203200
2005-08-22,1.648214,1.682857,1.616429,1.633571,1.390362,1792719600
2005-08-29,1.616786,1.684643,1.616429,1.650714,1.404953,1756759200
2005-09-05,1.667857,1.833929,1.662500,1.832500,1.559675,3099975200
2005-09-12,1.825000,1.843929,1.761786,1.828929,1.556635,2426267200
2005-09-19,1.823214,1.921786,1.823214,1.900000,1.617125,3060492400
2005-09-26,1.929643,1.948571,1.806786,1.914643,1.629588,3182289600
2005-10-03,1.934286,1.976786,1.805357,1.832143,1.559370,3093202000
2005-10-10,1.848571,1.941071,1.709643,1.928571,1.641442,7332004400
2005-10-17,1.927857,2.035000,1.828929,1.987857,1.691902,4389593600
2005-10-24,1.973214,2.055714,1.934643,1.945357,1.655729,2887802400
2005-10-31,1.971429,2.225714,1.955357,2.183929,1.858782,4310009200
2005-11-07,2.173214,2.218214,2.107500,2.197857,1.870636,2756320000
2005-11-14,2.197857,2.352857,2.175357,2.305714,1.962435,2892456000
2005-11-21,2.315000,2.483571,2.275714,2.476429,2.107734,1932859600
2005-11-28,2.525714,2.597857,2.405357,2.593929,2.207741,4214282800
2005-12-05,2.569643,2.672500,2.553214,2.654643,2.259415,3466047200
2005-12-12,2.673929,2.695000,2.509643,2.539643,2.161537,3701860400
2005-12-19,2.539643,2.660357,2.537143,2.619643,2.229626,2084608400
2005-12-26,2.642857,2.685000,2.512143,2.567500,2.185247,2102993200
2006-01-02,2.585000,2.739286,2.580357,2.725000,2.319297,2580718000
2006-01-09,2.740357,3.085714,2.705000,3.056786,2.601687,6505819600
2006-01-16,3.060714,3.085000,2.708214,2.717500,2.312914,4866867600
2006-01-23,2.717857,2.841429,2.539286,2.572500,2.189502,5613022800
2006-01-30,2.541786,2.735714,2.531071,2.566071,2.184030,4232575200
2006-02-06,2.572143,2.589643,2.246429,2.403929,2.046027,6903954400
2006-02-13,2.379643,2.536071,2.308571,2.510357,2.136610,4728382400
2006-02-20,2.521071,2.607143,2.428571,2.552143,2.172175,3149507200
2006-02-27,2.571071,2.585714,2.411786,2.418571,2.058490,4184980800
2006-03-06,2.417500,2.418571,2.230357,2.256786,1.920792,4281242000
2006-03-13,2.323214,2.430000,2.289643,2.309286,1.965476,3956884400
